"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","19,775.00","19,800.00","19,815.00","19,740.00","9.14K","0.05%"
"12/30/2024","19,765.00","19,785.00","19,885.00","19,700.00","14.73K","0.00%"
"12/27/2024","19,765.00","19,810.00","19,830.00","19,710.00","19.16K","-0.20%"
"12/26/2024","19,805.00","19,880.00","19,915.00","19,705.00","24.87K","-0.38%"
"12/25/2024","19,880.00","19,950.00","19,985.00","19,810.00","31.78K","0.28%"
"12/24/2024","19,825.00","19,935.00","19,945.00","19,770.00","28.34K","-0.58%"
"12/23/2024","19,940.00","19,915.00","20,020.00","19,855.00","28.52K","0.13%"
"12/20/2024","19,915.00","19,820.00","19,995.00","19,805.00","24.19K","0.40%"
"12/19/2024","19,835.00","19,920.00","19,940.00","19,750.00","34.77K","-0.30%"
"12/18/2024","19,895.00","19,880.00","19,975.00","19,835.00","36.71K","-0.53%"
"12/17/2024","20,000.00","20,150.00","20,180.00","19,890.00","53.23K","-0.94%"
"12/16/2024","20,190.00","20,350.00","20,350.00","20,100.00","1.30K","-0.62%"
"12/13/2024","20,315.00","20,380.00","20,430.00","20,180.00","4.13K","-0.59%"
"12/12/2024","20,435.00","20,340.00","20,515.00","20,330.00","4.09K","0.32%"
"12/11/2024","20,370.00","20,315.00","20,425.00","20,310.00","3.54K","0.15%"
"12/10/2024","20,340.00","20,430.00","20,480.00","20,270.00","7.19K","0.02%"
"12/09/2024","20,335.00","20,305.00","20,390.00","20,265.00","8.26K","-0.07%"
"12/06/2024","20,350.00","20,510.00","20,520.00","20,285.00","9.97K","-0.85%"
"12/05/2024","20,525.00","20,520.00","20,630.00","20,435.00","9.14K","0.59%"
"12/04/2024","20,405.00","20,390.00","20,580.00","20,320.00","12.92K","0.22%"
"12/03/2024","20,360.00","20,350.00","20,445.00","20,280.00","10.84K","-0.10%"
"12/02/2024","20,380.00","20,350.00","20,470.00","20,320.00","10.68K","0.25%"
"11/29/2024","20,330.00","20,230.00","20,440.00","20,220.00","16.21K","-0.02%"
"11/28/2024","20,335.00","20,510.00","20,540.00","20,210.00","39.09K","-0.90%"
"11/27/2024","20,520.00","20,535.00","20,595.00","20,460.00","26.44K","-0.24%"
"11/26/2024","20,570.00","20,580.00","20,680.00","20,505.00","25.69K","0.17%"
"11/25/2024","20,535.00","20,365.00","20,615.00","20,350.00","38.92K","0.10%"
"11/22/2024","20,515.00","20,650.00","20,680.00","20,390.00","45.13K","-0.73%"
"11/21/2024","20,665.00","20,720.00","20,775.00","20,575.00","37.02K","-0.02%"
"11/20/2024","20,670.00","20,500.00","20,800.00","20,485.00","39.72K","1.10%"
"11/19/2024","20,445.00","20,365.00","20,605.00","20,300.00","56.62K","-0.46%"
"11/18/2024","20,540.00","20,950.00","20,950.00","20,275.00","160.70K","-0.92%"
"11/15/2024","20,730.00","20,655.00","20,840.00","20,630.00","1.70K","0.73%"
"11/14/2024","20,580.00","20,530.00","20,750.00","20,500.00","3.66K","-0.96%"
"11/13/2024","20,780.00","20,935.00","20,935.00","20,670.00","3.57K","-1.56%"
"11/12/2024","21,110.00","21,345.00","21,345.00","20,860.00","4.67K","-1.47%"
"11/11/2024","21,425.00","21,415.00","21,585.00","21,310.00","5.85K","-0.90%"
"11/08/2024","21,620.00","21,500.00","21,775.00","21,500.00","6.73K","1.60%"
"11/07/2024","21,280.00","20,910.00","21,480.00","20,840.00","7.93K","1.02%"
"11/06/2024","21,065.00","21,075.00","21,195.00","20,950.00","6.82K","0.60%"
"11/05/2024","20,940.00","20,825.00","21,085.00","20,800.00","9.60K","0.82%"
"11/04/2024","20,770.00","20,885.00","20,890.00","20,550.00","10.07K","0.02%"
"11/01/2024","20,765.00","20,770.00","20,850.00","20,700.00","9.12K","0.19%"
"10/31/2024","20,725.00","20,805.00","20,810.00","20,640.00","21.52K","-0.26%"
"10/30/2024","20,780.00","20,835.00","20,845.00","20,700.00","18.10K","0.17%"
"10/29/2024","20,745.00","20,805.00","20,825.00","20,665.00","29.96K","-0.72%"
"10/28/2024","20,895.00","20,835.00","20,985.00","20,810.00","35.92K","0.55%"
"10/25/2024","20,780.00","20,960.00","21,020.00","20,580.00","50.26K","-1.02%"
"10/24/2024","20,995.00","20,780.00","21,135.00","20,780.00","54.38K","0.65%"
"10/23/2024","20,860.00","20,865.00","20,955.00","20,775.00","50.38K","0.58%"
"10/22/2024","20,740.00","20,805.00","20,840.00","20,635.00","43.81K","-0.12%"
"10/21/2024","20,765.00","20,700.00","20,890.00","20,610.00","60.30K","1.02%"
"10/18/2024","20,555.00","20,500.00","20,675.00","20,475.00","75.02K","-0.75%"
"10/17/2024","20,710.00","20,755.00","20,830.00","20,480.00","101.57K","0.17%"
"10/16/2024","20,675.00","20,570.00","20,750.00","20,560.00","99.66K","-0.19%"
"10/15/2024","20,715.00","20,750.00","20,800.00","20,375.00","2.15K","-0.48%"
"10/14/2024","20,815.00","20,945.00","20,945.00","20,705.00","6.12K","0.48%"
"10/11/2024","20,715.00","20,630.00","20,800.00","20,605.00","6.60K","1.12%"
"10/10/2024","20,485.00","20,395.00","20,590.00","20,270.00","10.67K","-0.12%"
"10/09/2024","20,510.00","20,565.00","20,600.00","20,440.00","10.34K","-0.68%"
"10/08/2024","20,650.00","20,545.00","20,870.00","20,500.00","13.58K","1.00%"
"09/30/2024","20,445.00","20,375.00","20,580.00","20,270.00","17.52K","0.59%"
"09/27/2024","20,325.00","20,225.00","20,425.00","20,190.00","33.65K","1.42%"
"09/26/2024","20,040.00","19,935.00","20,120.00","19,935.00","30.31K","-0.40%"
"09/25/2024","20,120.00","20,045.00","20,260.00","20,000.00","41.77K","1.18%"
"09/24/2024","19,885.00","19,765.00","19,985.00","19,750.00","48.86K","0.40%"
"09/23/2024","19,805.00","19,930.00","19,970.00","19,705.00","52.75K","-1.12%"
"09/20/2024","20,030.00","20,035.00","20,090.00","19,960.00","49.91K","0.58%"
"09/19/2024","19,915.00","19,960.00","20,090.00","19,760.00","90.42K","0.48%"
